                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1293,                 3.9515,                 2.0692,                0.02643,                0.06527,                0.01986,                0.00667,                 3.1866,                 2.9471,                 1.4493,               0.070074,              0.0033251,              0.0033251
                      2,                 3.0241,                  2.876,                 1.3676,                0.16791,                0.05919,                 0.0372,                0.01617,                 2.6352,                 2.4077,                 1.2876,               0.040041,              0.0066255,              0.0066255
                      3,                 2.5616,                 2.4337,                 1.2471,                 0.4016,                0.08812,                 0.0664,                0.02974,                 2.2551,                 2.0443,                 1.1678,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.3013,                 2.1515,                 1.1725,                0.31648,                0.11024,                0.08257,                 0.0406,                 2.0243,                 1.8564,                 1.1055,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1368,                 1.9709,                 1.1233,                0.33769,                0.14553,                0.09465,                0.04593,                 1.9884,                 1.7364,                 1.0679,               0.009802,               0.009802,               0.009802
                      6,                 2.0244,                 1.8446,                 1.0909,                0.33856,                0.15278,                0.10684,                0.05311,                 1.8802,                 1.6463,                 1.0435,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9576,                 1.7621,                   1.07,                 0.2845,                0.16579,                0.12375,                0.06374,                 1.8264,                 1.5535,                 1.0328,               0.009703,               0.009703,               0.009703
                      8,                 1.8971,                 1.6979,                 1.0537,                 0.3064,                0.16691,                0.13075,                0.06795,                 1.7692,                 1.5376,                 1.0235,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.856,                 1.6486,                 1.0439,                0.29088,                0.16084,                0.13024,                0.06768,                 1.7791,                 1.5187,                 1.0156,               0.009604,               0.009604,               0.009604
                     10,                 1.8218,                  1.587,                 1.0327,                 0.3035,                0.18451,                0.14754,                0.07854,                 1.7148,                 1.4287,                 1.0032,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7958,                 1.5553,                  1.024,                0.33877,                0.18371,                0.15488,                0.08173,                 1.7008,                 1.4256,                 1.0047,               0.009505,               0.009505,               0.009505
                     12,                 1.7741,                 1.5447,                 1.0202,                0.23032,                0.20597,                0.16782,                0.09055,                 1.6506,                 1.3751,                0.98662,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7601,                 1.5126,                 1.0157,                0.25704,                0.21297,                0.17328,                0.09466,                 1.6385,                 1.3527,                0.98181,               0.009406,               0.009406,               0.009406
                     14,                 1.7371,                 1.4887,                 1.0092,                0.25825,                0.21153,                0.18142,                0.09982,                 1.6175,                 1.3265,                0.97796,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7136,                   1.45,                0.99801,                0.26407,                0.21625,                0.18552,                0.10139,                 1.6088,                  1.319,                 0.9765,               0.009307,               0.009307,               0.009307
                     16,                 1.7003,                 1.4451,                0.99976,                0.26847,                0.23056,                0.19328,                0.10616,                 1.6061,                  1.303,                0.97812,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7059,                 1.4444,                0.99746,                0.29219,                0.22628,                 0.1995,                0.10997,                 1.5905,                 1.2809,                0.96959,               0.009208,               0.009208,               0.009208
                     18,                 1.6868,                 1.4069,                0.99346,                0.26258,                0.23513,                0.19672,                0.10778,                 1.5709,                 1.2783,                0.96652,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6593,                 1.3899,                0.98851,                0.26991,                0.23164,                0.20259,                0.11251,                 1.5655,                 1.2611,                 0.9646,               0.009109,               0.009109,               0.009109
                     20,                 1.6655,                 1.3829,                0.98489,                0.28984,                0.23941,                0.21024,                0.11634,                 1.5564,                 1.2456,                0.96317,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6448,                 1.3652,                0.98156,                0.29276,                0.23959,                 0.2135,                0.11904,                 1.5491,                 1.2362,                0.96144,                0.00901,                0.00901,                0.00901
                     22,                 1.6381,                 1.3484,                0.97843,                0.29782,                0.23791,                0.21464,                0.11908,                 1.5451,                 1.2373,                0.95778,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6307,                  1.342,                0.97462,                0.29395,                 0.2449,                0.22118,                0.12168,                 1.5385,                  1.226,                 0.9579,               0.008911,               0.008911,               0.008911
                     24,                 1.6117,                 1.3148,                0.97389,                0.31729,                0.24898,                0.22616,                0.12615,                 1.5196,                 1.2046,                0.95269,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6157,                 1.3198,                0.97122,                0.31437,                0.24859,                0.22774,                0.12624,                 1.5168,                 1.2024,                0.95028,               0.008812,               0.008812,               0.008812
                     26,                 1.5954,                 1.3092,                0.97496,                0.31415,                0.25636,                0.23205,                0.13031,                  1.508,                  1.186,                0.95032,              0.0087625,              0.0087625,              0.0087625
