                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0352,                 4.1044,                 2.9963,                0.02672,                0.06621,                0.02058,                0.00692,                 3.2014,                 3.1504,                 2.2605,               0.070074,              0.0033251,              0.0033251
                      2,                 2.8759,                 3.0465,                 1.9869,                0.06473,                0.14293,                0.06705,                  0.029,                 2.4573,                 2.5007,                 1.7227,               0.040041,              0.0066255,              0.0066255
                      3,                 2.4674,                 2.5877,                 1.6705,                0.07313,                0.15437,                0.07494,                0.03462,                 2.4498,                 2.5298,                 1.6408,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.2332,                 2.3024,                 1.5271,                0.17167,                 0.1557,                0.11889,                0.05862,                 2.0276,                 1.9561,                 1.4501,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0961,                 2.1239,                 1.4474,                0.17524,                0.17866,                0.13826,                0.06791,                  1.987,                 1.8665,                 1.3857,               0.009802,               0.009802,               0.009802
                      6,                 1.9966,                 1.9818,                 1.3894,                0.19887,                0.19914,                0.15221,                0.07838,                 1.8431,                 1.7476,                 1.3135,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9367,                 1.8906,                 1.3508,                0.24866,                0.20867,                0.17735,                 0.0931,                 1.8027,                 1.6563,                 1.3079,               0.009703,               0.009703,               0.009703
                      8,                 1.8816,                 1.8217,                 1.3242,                0.25394,                0.22414,                0.18315,                0.09743,                 1.7625,                 1.6021,                 1.2777,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8445,                 1.7607,                 1.2979,                0.25628,                0.22656,                0.19147,                0.10075,                 1.7503,                 1.5678,                 1.2548,               0.009604,               0.009604,               0.009604
                     10,                 1.8148,                 1.7077,                 1.2774,                0.27583,                0.23197,                0.20008,                0.10751,                 1.7174,                 1.5558,                 1.2323,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7986,                 1.6821,                 1.2628,                0.28636,                0.24485,                0.21521,                0.11632,                 1.6891,                 1.5095,                 1.2245,               0.009505,               0.009505,               0.009505
                     12,                 1.7861,                 1.6777,                 1.2564,                0.29437,                0.25027,                0.22238,                0.12088,                 1.6759,                 1.4896,                 1.2089,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7725,                 1.6433,                 1.2391,                0.32345,                0.26329,                0.24219,                0.13143,                 1.6489,                 1.4514,                 1.1918,               0.009406,               0.009406,               0.009406
                     14,                 1.7573,                 1.6172,                 1.2277,                0.34651,                0.26558,                0.24675,                0.13534,                 1.6418,                 1.4364,                 1.1813,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7342,                 1.5777,                 1.2061,                0.34547,                0.27131,                0.25146,                 0.1381,                 1.6363,                  1.426,                 1.1794,               0.009307,               0.009307,               0.009307
                     16,                 1.7304,                 1.5797,                 1.2103,                0.33795,                0.27729,                0.25715,                0.14207,                   1.63,                 1.4203,                 1.1702,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7356,                 1.5734,                 1.2008,                0.35863,                0.28254,                0.26601,                0.14815,                 1.6064,                 1.3912,                 1.1578,               0.009208,               0.009208,               0.009208
                     18,                 1.7191,                 1.5454,                 1.1946,                0.35987,                0.28678,                0.27184,                0.15171,                 1.5927,                  1.375,                 1.1491,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6965,                 1.5267,                  1.186,                0.37209,                0.28638,                0.27532,                0.15353,                  1.593,                 1.3664,                 1.1488,               0.009109,               0.009109,               0.009109
                     20,                 1.7007,                 1.5174,                 1.1774,                0.36337,                0.30019,                0.28331,                0.15823,                 1.5759,                 1.3447,                 1.1411,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6805,                 1.4976,                 1.1701,                0.36886,                0.29338,                0.28082,                0.15747,                 1.5681,                 1.3452,                 1.1333,                0.00901,                0.00901,                0.00901
                     22,                 1.6809,                 1.4811,                 1.1651,                0.38925,                0.29834,                0.28962,                0.16015,                 1.5704,                 1.3385,                 1.1363,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6693,                 1.4789,                 1.1578,                0.37254,                0.31165,                0.29362,                 0.1619,                 1.5687,                 1.3319,                 1.1334,               0.008911,               0.008911,               0.008911
                     24,                 1.6512,                 1.4484,                 1.1521,                 0.3738,                0.30955,                0.29552,                0.16601,                 1.5595,                 1.3212,                  1.125,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6569,                 1.4513,                 1.1503,                0.38175,                0.30846,                0.29688,                0.16695,                 1.5406,                 1.3153,                 1.1166,               0.008812,               0.008812,               0.008812
                     26,                 1.6447,                 1.4498,                 1.1539,                0.38748,                0.30886,                0.29703,                0.16921,                 1.5379,                 1.3023,                 1.1141,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.6398,                 1.4349,                 1.1446,                0.39725,                0.32363,                0.30944,                0.17551,                 1.5206,                 1.2851,                 1.1105,               0.008713,               0.008713,               0.008713
                     28,                 1.6456,                  1.434,                 1.1456,                0.38606,                0.31887,                0.30652,                0.17423,                  1.531,                 1.2918,                  1.109,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.6303,                 1.4179,                 1.1377,                0.40267,                0.32473,                0.31581,                0.17908,                 1.5199,                 1.2796,                 1.1077,               0.008614,               0.008614,               0.008614
                     30,                 1.6307,                 1.4142,                 1.1336,                0.41504,                0.31483,                0.31264,                 0.1776,                 1.5201,                 1.2748,                 1.1066,              0.0085645,              0.0085645,              0.0085645
