                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.306,                 3.8836,                 2.4828,                0.12921,                0.07659,                 0.0264,                0.00903,                 3.1303,                  2.699,                 1.6337,               0.070074,              0.0033251,              0.0033251
                      2,                 2.8532,                 2.6046,                 1.5452,                0.06687,                0.13457,                0.06257,                0.02671,                 2.4363,                  2.129,                 1.3536,               0.040041,              0.0066255,              0.0066255
                      3,                 2.4299,                 2.2028,                 1.3553,                0.23143,                0.12731,                0.08298,                0.04006,                  2.103,                 1.8979,                 1.2327,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.2028,                 1.9659,                  1.269,                0.25849,                0.12856,                0.10386,                0.05212,                 1.9351,                 1.7002,                 1.1657,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.056,                 1.8223,                 1.2109,                0.16386,                0.14387,                 0.1115,                0.05414,                 1.9655,                 1.5948,                 1.1457,               0.009802,               0.009802,               0.009802
                      6,                 1.9528,                 1.7032,                 1.1698,                0.18627,                0.16523,                0.13215,                0.06628,                 1.8298,                 1.4985,                 1.1104,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.8853,                 1.6276,                  1.144,                0.19645,                0.17977,                0.14025,                0.07117,                 1.7943,                 1.4414,                 1.0975,               0.009703,               0.009703,               0.009703
                      8,                 1.8278,                 1.5701,                 1.1277,                0.23719,                0.19614,                0.15264,                0.07829,                 1.7164,                 1.4458,                 1.0794,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7887,                  1.525,                 1.1124,                0.23869,                0.19355,                0.16449,                0.08513,                 1.6876,                 1.3724,                 1.0687,               0.009604,               0.009604,               0.009604
                     10,                 1.7534,                 1.4682,                 1.0985,                0.26685,                0.21853,                0.18194,                0.09649,                 1.6448,                 1.3097,                 1.0518,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7267,                 1.4446,                 1.0858,                0.27245,                0.21253,                0.18616,                 0.0976,                 1.6208,                 1.3072,                 1.0436,               0.009505,               0.009505,               0.009505
                     12,                 1.7092,                 1.4362,                 1.0849,                0.27885,                0.22276,                0.19236,                0.10231,                 1.5929,                 1.2765,                 1.0352,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.6943,                 1.4035,                 1.0768,                0.30866,                 0.2346,                0.20642,                0.10955,                 1.5791,                 1.2345,                 1.0314,               0.009406,               0.009406,               0.009406
                     14,                 1.6736,                 1.3865,                 1.0686,                0.32954,                0.22638,                0.20451,                0.10911,                 1.5732,                 1.2384,                 1.0317,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6486,                  1.351,                  1.055,                0.31161,                0.23934,                0.21101,                  0.113,                 1.5488,                 1.2182,                 1.0198,               0.009307,               0.009307,               0.009307
                     16,                 1.6408,                 1.3453,                 1.0597,                0.31322,                0.24108,                0.21519,                0.11621,                 1.5517,                 1.2104,                  1.023,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6468,                 1.3503,                 1.0559,                0.32115,                 0.2423,                0.21663,                0.11811,                 1.5266,                 1.1973,                 1.0139,               0.009208,               0.009208,               0.009208
                     18,                 1.6275,                 1.3171,                 1.0509,                 0.3214,                0.24858,                0.22455,                0.12192,                 1.5241,                 1.1804,                 1.0105,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.5986,                 1.3011,                 1.0439,                0.34096,                0.24361,                0.22852,                0.12449,                 1.5019,                 1.1668,                 1.0087,               0.009109,               0.009109,               0.009109
                     20,                 1.6044,                 1.2962,                 1.0387,                0.32872,                0.25086,                0.23121,                0.12696,                  1.499,                 1.1611,                 1.0068,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.5874,                 1.2827,                 1.0346,                0.32844,                0.25388,                0.23657,                0.13021,                 1.4822,                  1.158,                 1.0003,                0.00901,                0.00901,                0.00901
                     22,                  1.603,                 1.2785,                 1.0319,                0.33628,                0.25341,                0.23749,                0.13013,                 1.5131,                 1.1823,                 1.0009,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6112,                 1.2891,                 1.0251,                0.34646,                0.26757,                0.24261,                0.13314,                 1.5123,                 1.1685,                0.99709,               0.008911,               0.008911,               0.008911
                     24,                 1.5985,                 1.2668,                 1.0241,                0.34511,                0.27089,                0.25107,                0.13722,                 1.4996,                 1.1567,                 0.9896,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6052,                 1.2771,                 1.0199,                0.35768,                0.26227,                0.24901,                0.13805,                 1.4953,                 1.1601,                0.98796,               0.008812,               0.008812,               0.008812
                     26,                 1.5872,                 1.2751,                 1.0238,                0.34819,                 0.2682,                0.24661,                0.13602,                 1.5007,                 1.1597,                0.98681,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5852,                 1.2655,                 1.0146,                0.34927,                0.26851,                0.24972,                0.13944,                   1.49,                 1.1431,                0.98392,               0.008713,               0.008713,               0.008713
                     28,                 1.5884,                 1.2671,                 1.0154,                0.34194,                0.28225,                0.25501,                0.14099,                 1.4843,                 1.1437,                0.98313,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.5734,                 1.2515,                 1.0101,                0.36508,                0.28233,                 0.2618,                0.14478,                 1.4736,                 1.1358,                0.97732,               0.008614,               0.008614,               0.008614
                     30,                 1.5733,                 1.2495,                 1.0051,                0.35893,                0.27574,                0.25822,                0.14468,                 1.4784,                 1.1356,                0.97841,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5664,                 1.2365,                 1.0033,                0.35814,                0.28622,                0.26396,                0.14667,                  1.473,                 1.1264,                 0.9752,               0.008515,               0.008515,               0.008515
                     32,                 1.5532,                 1.2259,                0.99975,                0.35643,                0.28304,                0.26144,                0.14493,                 1.4661,                 1.1236,                 0.9726,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5474,                 1.2217,                 1.0029,                0.37153,                0.28519,                0.26833,                0.14949,                 1.4592,                  1.118,                0.97086,               0.008416,               0.008416,               0.008416
                     34,                 1.5444,                 1.2157,                 1.0018,                0.36742,                0.28714,                0.26893,                 0.1498,                 1.4571,                 1.1136,                0.97042,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5303,                 1.2093,                0.99742,                0.37451,                0.29186,                0.27317,                0.15131,                 1.4551,                 1.1082,                0.96919,               0.008317,               0.008317,               0.008317
