                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0591,                 3.8888,                 2.0633,                0.02829,                0.05929,                0.02004,                0.00746,                 3.1205,                 2.9269,                 1.4482,               0.070074,              0.0033251,              0.0033251
                      2,                  2.952,                 2.8007,                 1.3593,                0.15134,                0.11443,                0.04916,                0.02034,                 2.5143,                 2.2794,                 1.2653,               0.040041,              0.0066255,              0.0066255
                      3,                 2.5381,                 2.3796,                 1.2416,                0.40628,                0.09611,                0.06967,                0.03104,                 2.2438,                 2.0229,                 1.1664,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.2787,                 2.1214,                 1.1722,                0.31206,                0.11202,                0.08557,                0.04272,                 2.0099,                 1.8216,                 1.0984,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1233,                 1.9633,                  1.125,                0.20689,                0.15234,                0.09576,                 0.0463,                 2.0287,                 1.7248,                 1.0787,               0.009802,               0.009802,               0.009802
                      6,                 2.0206,                 1.8297,                 1.0927,                0.28404,                0.15607,                0.11193,                0.05573,                 1.8598,                 1.6596,                 1.0418,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9548,                 1.7452,                 1.0741,                0.25408,                0.16255,                0.12101,                0.06146,                 1.8518,                 1.5859,                 1.0376,               0.009703,               0.009703,               0.009703
                      8,                 1.8878,                 1.6861,                 1.0571,                0.29629,                0.17673,                0.13597,                0.07119,                  1.778,                 1.5042,                   1.02,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8495,                 1.6356,                 1.0464,                0.17948,                0.18305,                0.13811,                 0.0728,                 1.7633,                 1.4867,                 1.0178,               0.009604,               0.009604,               0.009604
                     10,                 1.8211,                 1.5761,                 1.0379,                0.26848,                0.18575,                0.14746,                 0.0787,                 1.7193,                 1.4186,                 1.0032,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7905,                 1.5461,                 1.0268,                0.23627,                0.19334,                 0.1604,                0.08539,                 1.6593,                 1.3923,                0.99432,               0.009505,               0.009505,               0.009505
