                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7559,                 4.1058,                  2.516,                0.03516,                0.06219,                0.02362,                0.00717,                 3.0049,                 3.2175,                 1.8898,               0.070074,              0.0033251,              0.0033251
                      2,                  2.775,                 3.1412,                 1.6646,                0.07341,                0.09868,                0.05661,                0.02607,                 2.3572,                 2.6095,                 1.4806,               0.040041,              0.0066255,              0.0066255
                      3,                 2.4282,                 2.6856,                 1.4594,                0.09345,                0.10082,                 0.0709,                0.03467,                 2.2566,                  2.447,                 1.3917,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.2157,                 2.3835,                 1.3555,                0.22916,                0.12964,                0.09823,                0.04948,                 2.0091,                 2.0478,                 1.3137,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0796,                 2.1908,                 1.2969,                0.25555,                0.14713,                0.11548,                0.06006,                 1.9372,                 1.8912,                 1.2394,               0.009802,               0.009802,               0.009802
                      6,                 1.9929,                 2.0526,                 1.2565,                0.25672,                0.15406,                   0.13,                0.06699,                   1.88,                 1.8979,                 1.2273,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9399,                 1.9467,                 1.2313,                0.30584,                0.18157,                 0.1581,                0.08335,                 1.7895,                 1.7188,                 1.1929,               0.009703,               0.009703,               0.009703
                      8,                 1.8841,                 1.8816,                 1.2123,                 0.2259,                 0.1983,                0.17234,                0.09292,                 1.7546,                 1.6548,                 1.1675,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8512,                 1.8173,                  1.196,                0.25331,                0.19799,                0.17773,                0.09529,                 1.7522,                 1.6341,                 1.1647,               0.009604,               0.009604,               0.009604
                     10,                  1.826,                 1.7629,                 1.1831,                0.25573,                0.21023,                0.18358,                0.09964,                 1.7453,                 1.6226,                 1.1656,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8077,                 1.7307,                  1.175,                0.27044,                0.22483,                0.20451,                0.11168,                 1.6698,                 1.5454,                 1.1421,               0.009505,               0.009505,               0.009505
                     12,                 1.7891,                 1.7112,                 1.1706,                0.28279,                  0.236,                0.21352,                0.11882,                 1.6555,                 1.5074,                 1.1328,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7745,                 1.6759,                 1.1611,                0.30145,                0.24959,                0.22594,                0.12461,                  1.654,                 1.5078,                  1.133,               0.009406,               0.009406,               0.009406
                     14,                  1.755,                 1.6489,                  1.155,                0.29064,                0.24501,                0.22541,                 0.1258,                 1.6416,                 1.4896,                 1.1251,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7353,                  1.605,                  1.141,                0.31119,                 0.2554,                0.23728,                0.13347,                 1.6244,                 1.4471,                 1.1245,               0.009307,               0.009307,               0.009307
