                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9949,                 4.0176,                 2.9691,                0.03817,                0.07815,                0.02887,                0.00993,                 3.0951,                 3.1704,                 2.1991,               0.070074,              0.0033251,              0.0033251
                      2,                 2.8435,                 2.9926,                 1.9894,                0.06493,                0.13067,                0.06404,                0.02832,                 2.4508,                 2.5006,                  1.781,               0.040041,              0.0066255,              0.0066255
                      3,                 2.4494,                 2.5566,                 1.6993,                0.06917,                0.17897,                0.07787,                0.03745,                 2.3182,                 2.5487,                 1.6677,              0.0099752,              0.0098929,              0.0098929
                      4,                  2.228,                 2.2859,                 1.5588,                0.27734,                0.14542,                0.11694,                0.05907,                 2.0217,                 2.0284,                 1.4584,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0902,                 2.1158,                 1.4753,                0.19896,                0.17285,                 0.1352,                0.06668,                 1.9813,                 1.8876,                   1.42,               0.009802,               0.009802,               0.009802
                      6,                 1.9988,                 1.9749,                 1.4247,                0.20224,                0.19913,                 0.1529,                0.07878,                 1.8488,                  1.754,                 1.3593,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9427,                 1.8869,                 1.3867,                0.24232,                0.21466,                0.17719,                0.09311,                 1.8068,                 1.6455,                 1.3357,               0.009703,               0.009703,               0.009703
                      8,                 1.8909,                  1.823,                 1.3624,                0.25419,                0.22572,                0.18712,                0.09907,                 1.7722,                 1.6075,                 1.3105,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.857,                  1.762,                 1.3381,                0.26409,                0.24088,                 0.2001,                0.10527,                 1.7475,                 1.5558,                 1.2911,               0.009604,               0.009604,               0.009604
                     10,                 1.8294,                 1.7073,                 1.3196,                0.28475,                0.22536,                0.20097,                0.10833,                 1.7296,                 1.5483,                  1.268,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8147,                 1.6902,                 1.3047,                0.29692,                0.24479,                0.21341,                0.11428,                 1.7129,                 1.5125,                 1.2655,               0.009505,               0.009505,               0.009505
                     12,                 1.8058,                 1.6792,                  1.297,                0.30557,                0.25359,                0.22487,                0.12182,                 1.6746,                 1.4882,                 1.2458,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7899,                 1.6491,                 1.2814,                0.34333,                0.25482,                0.24069,                0.13006,                 1.6655,                 1.4561,                 1.2295,               0.009406,               0.009406,               0.009406
                     14,                 1.7744,                 1.6269,                 1.2686,                0.34204,                0.26614,                0.24478,                 0.1355,                 1.6568,                 1.4477,                 1.2183,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7526,                 1.5873,                  1.247,                0.34436,                0.27297,                0.24807,                0.13691,                 1.6522,                 1.4432,                 1.2122,               0.009307,               0.009307,               0.009307
                     16,                 1.7519,                 1.5914,                 1.2525,                 0.3703,                0.27168,                0.25545,                0.14141,                 1.6437,                 1.4227,                 1.1987,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7538,                 1.5846,                  1.242,                0.36932,                0.26919,                0.25833,                0.14504,                 1.6185,                  1.398,                 1.1902,               0.009208,               0.009208,               0.009208
                     18,                 1.7401,                 1.5553,                 1.2356,                0.36363,                0.27595,                0.26355,                0.14748,                  1.619,                 1.4083,                 1.1861,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.7166,                 1.5385,                 1.2261,                0.36746,                0.28536,                0.27111,                 0.1508,                 1.6053,                 1.3758,                 1.1808,               0.009109,               0.009109,               0.009109
                     20,                 1.7214,                 1.5238,                 1.2166,                0.35881,                0.28929,                0.27137,                0.15043,                 1.6045,                 1.3696,                 1.1783,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.7014,                 1.5078,                 1.2097,                0.37511,                0.28702,                0.27704,                0.15538,                 1.5847,                 1.3546,                   1.17,                0.00901,                0.00901,                0.00901
                     22,                 1.7016,                 1.4894,                 1.2053,                0.37816,                0.29495,                0.28133,                0.15633,                 1.5852,                 1.3523,                 1.1717,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6913,                 1.4914,                 1.1983,                0.39162,                 0.2969,                0.28528,                  0.159,                 1.5857,                 1.3476,                 1.1671,               0.008911,               0.008911,               0.008911
                     24,                 1.6739,                  1.461,                 1.1922,                0.38656,                0.30416,                0.28907,                0.16216,                 1.5781,                 1.3324,                 1.1595,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6754,                  1.461,                 1.1871,                 0.4002,                0.30139,                0.29319,                0.16382,                 1.5599,                 1.3278,                 1.1529,               0.008812,               0.008812,               0.008812
                     26,                 1.6636,                 1.4606,                 1.1931,                0.39797,                0.29866,                 0.2953,                0.16653,                  1.551,                  1.312,                 1.1468,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.6587,                 1.4448,                 1.1823,                0.38227,                0.31126,                0.29609,                0.16571,                 1.5534,                 1.3077,                 1.1505,               0.008713,               0.008713,               0.008713
                     28,                 1.6631,                  1.445,                 1.1838,                0.39785,                0.29779,                0.29425,                0.16789,                 1.5525,                 1.3131,                 1.1433,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.6487,                 1.4278,                 1.1737,                0.39583,                0.31251,                0.30139,                0.17058,                 1.5428,                 1.3108,                 1.1375,               0.008614,               0.008614,               0.008614
                     30,                 1.6493,                 1.4275,                 1.1698,                0.40364,                 0.3029,                0.29956,                0.16966,                 1.5424,                 1.2945,                 1.1365,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.6499,                 1.4203,                 1.1705,                0.39687,                0.31556,                0.30413,                0.17175,                 1.5374,                 1.2879,                 1.1343,               0.008515,               0.008515,               0.008515
                     32,                 1.6313,                 1.3991,                 1.1627,                0.39831,                0.32207,                0.30867,                0.17414,                 1.5366,                 1.2816,                 1.1306,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.6282,                 1.3954,                  1.164,                0.42266,                0.31725,                0.31348,                0.17958,                 1.5175,                 1.2739,                  1.126,               0.008416,               0.008416,               0.008416
                     34,                 1.6229,                 1.3865,                 1.1635,                 0.4147,                0.32325,                0.31435,                 0.1778,                 1.5216,                 1.2711,                 1.1258,              0.0083665,              0.0083665,              0.0083665
                     35,                  1.612,                 1.3823,                 1.1579,                0.42199,                0.32227,                 0.3164,                0.17977,                  1.517,                 1.2654,                 1.1195,               0.008317,               0.008317,               0.008317
                     36,                 1.6222,                 1.3887,                 1.1496,                0.40362,                0.32162,                0.31563,                0.18021,                 1.5132,                 1.2669,                 1.1182,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.6268,                 1.3851,                 1.1534,                0.42252,                 0.3194,                0.31898,                0.18288,                 1.5088,                 1.2567,                 1.1156,               0.008218,               0.008218,               0.008218
                     38,                 1.6168,                 1.3721,                 1.1493,                0.42323,                0.32627,                0.32218,                0.18423,                 1.5072,                 1.2519,                 1.1152,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.6218,                 1.3795,                 1.1494,                0.42831,                0.33083,                0.32529,                0.18532,                 1.5045,                 1.2484,                 1.1128,               0.008119,               0.008119,               0.008119
