                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0324,                 4.3284,                 2.8296,                0.01488,                0.03505,                0.00921,                0.00284,                 3.2709,                 3.3775,                 2.0478,               0.070074,              0.0033251,              0.0033251
                      2,                 2.9446,                 3.3004,                 1.7509,                0.04838,                0.11904,                 0.0468,                0.02066,                 2.4784,                  2.681,                 1.5293,               0.040041,              0.0066255,              0.0066255
                      3,                 2.5169,                 2.8038,                 1.4925,                0.20248,                0.10111,                 0.0736,                0.03484,                 2.2888,                 2.4109,                 1.3873,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.2935,                  2.519,                 1.3817,                0.08956,                 0.1327,                0.07754,                0.03802,                 2.1553,                 2.3308,                 1.3495,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1434,                 2.3307,                  1.318,                0.21624,                0.13506,                0.10217,                0.05121,                 1.9876,                 2.0204,                 1.2642,               0.009802,               0.009802,               0.009802
                      6,                 2.0527,                 2.1845,                 1.2771,                0.25461,                0.14722,                0.10934,                0.05575,                 1.9325,                 1.9799,                   1.23,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9978,                 2.0791,                 1.2497,                0.26493,                0.16628,                0.13093,                0.06822,                 1.8594,                 1.8532,                 1.2145,               0.009703,               0.009703,               0.009703
                      8,                 1.9438,                 2.0061,                 1.2336,                0.27786,                0.17698,                0.14248,                0.07503,                 1.8248,                 1.7919,                 1.2028,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9101,                 1.9432,                 1.2181,                0.18985,                0.16845,                0.14668,                0.07703,                 1.8223,                 1.7669,                 1.1805,               0.009604,               0.009604,               0.009604
                     10,                 1.8861,                 1.8906,                 1.2061,                0.20516,                0.19487,                0.16497,                0.08748,                 1.7758,                  1.698,                 1.1805,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8683,                 1.8559,                 1.1983,                0.21907,                0.20205,                0.17119,                0.09171,                 1.7536,                 1.6667,                 1.1642,               0.009505,               0.009505,               0.009505
                     12,                 1.8535,                 1.8409,                 1.1944,                0.23328,                0.20009,                0.17319,                0.09184,                 1.7505,                 1.6497,                 1.1665,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8374,                 1.8066,                 1.1849,                 0.2627,                0.22376,                0.19087,                0.10332,                 1.7148,                 1.6083,                 1.1546,               0.009406,               0.009406,               0.009406
                     14,                 1.8215,                 1.7781,                 1.1793,                0.25919,                0.21838,                0.19677,                0.10719,                 1.7003,                 1.5738,                 1.1487,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7999,                 1.7295,                  1.166,                0.27231,                0.22146,                 0.2018,                0.11097,                 1.6761,                 1.5448,                 1.1416,               0.009307,               0.009307,               0.009307
                     16,                 1.7963,                 1.7313,                 1.1693,                0.26902,                0.22996,                0.20662,                0.11432,                 1.6855,                 1.5393,                 1.1371,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7997,                 1.7225,                 1.1661,                 0.2808,                 0.2382,                0.21025,                0.11602,                 1.6752,                 1.5231,                 1.1362,               0.009208,               0.009208,               0.009208
                     18,                 1.7843,                 1.6895,                 1.1619,                0.29513,                0.24014,                0.21971,                0.12186,                   1.66,                 1.4917,                 1.1272,              0.0091585,              0.0091585,              0.0091585
                     19,                  1.761,                 1.6699,                 1.1549,                0.29868,                0.24661,                0.22632,                0.12617,                 1.6412,                 1.4799,                 1.1248,               0.009109,               0.009109,               0.009109
                     20,                 1.7667,                 1.6592,                 1.1499,                0.30837,                 0.2551,                0.23093,                0.12905,                 1.6381,                 1.4632,                 1.1214,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.7469,                 1.6396,                 1.1466,                0.30763,                0.24555,                0.23094,                  0.129,                 1.6424,                 1.4745,                 1.1236,                0.00901,                0.00901,                0.00901
                     22,                 1.7477,                  1.622,                 1.1434,                  0.318,                   0.25,                0.23428,                0.13089,                 1.6242,                 1.4439,                  1.116,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.7379,                 1.6199,                 1.1386,                0.31236,                0.25578,                0.23468,                0.13136,                 1.6268,                 1.4444,                 1.1142,               0.008911,               0.008911,               0.008911
                     24,                 1.7185,                 1.5847,                 1.1343,                0.30581,                 0.2708,                0.24213,                0.13607,                 1.6114,                 1.4224,                  1.107,              0.0088615,              0.0088615,              0.0088615
