                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8288,                 4.1034,                 2.4176,                0.02731,                0.06728,                0.01927,                0.00709,                 3.0077,                 3.1743,                 1.8585,               0.070074,              0.0033251,              0.0033251
                      2,                 2.8121,                 3.1552,                 1.6467,                0.06032,                0.11421,                0.05441,                  0.023,                 2.4753,                 2.6673,                 1.4999,               0.040041,              0.0066255,              0.0066255
                      3,                 2.4674,                 2.7361,                  1.465,                0.08954,                0.10704,                0.06495,                0.03097,                 2.2556,                 2.4314,                 1.4091,              0.0099752,              0.0098929,              0.0098929
                      4,                  2.281,                 2.4802,                 1.3754,                0.20201,                0.11304,                0.08422,                0.04247,                 2.0827,                 2.1583,                 1.2879,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1472,                 2.3066,                 1.3173,                0.21743,                0.13408,                0.10312,                 0.0517,                 1.9903,                 1.9892,                 1.2476,               0.009802,               0.009802,               0.009802
                      6,                 2.0546,                 2.1643,                 1.2776,                0.22657,                0.15063,                0.10954,                0.05613,                 1.9358,                 1.9641,                 1.2304,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0024,                 2.0645,                 1.2515,                0.26212,                0.17334,                0.13335,                0.06984,                 1.8546,                 1.8295,                 1.2222,               0.009703,               0.009703,               0.009703
                      8,                 1.9484,                 1.9951,                 1.2334,                0.28438,                0.17265,                0.14309,                0.07518,                 1.8257,                 1.8055,                  1.195,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9179,                 1.9336,                 1.2192,                0.18389,                0.17538,                0.14416,                0.07548,                 1.8415,                 1.7619,                 1.1897,               0.009604,               0.009604,               0.009604
                     10,                 1.8908,                 1.8813,                 1.2061,                0.20857,                0.18852,                0.16165,                0.08673,                 1.7845,                 1.6871,                 1.1735,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8724,                 1.8438,                  1.198,                0.21935,                0.20717,                 0.1733,                0.09398,                 1.7541,                 1.6486,                 1.1682,               0.009505,               0.009505,               0.009505
                     12,                 1.8548,                 1.8304,                 1.1943,                0.22674,                0.20426,                0.17454,                0.09365,                 1.7437,                 1.6368,                 1.1724,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8385,                 1.7906,                 1.1847,                0.25242,                0.22084,                0.19047,                0.10376,                 1.7255,                 1.6036,                 1.1522,               0.009406,               0.009406,               0.009406
                     14,                 1.8211,                  1.764,                 1.1785,                0.26329,                0.21526,                0.19456,                0.10697,                 1.7064,                 1.5931,                 1.1432,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.799,                 1.7193,                 1.1636,                0.26113,                0.20977,                0.19352,                0.10719,                 1.7308,                 1.5807,                 1.1515,               0.009307,               0.009307,               0.009307
                     16,                 1.7954,                 1.7196,                 1.1686,                0.28818,                0.23724,                0.21234,                  0.118,                 1.6789,                 1.5362,                 1.1377,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.7987,                 1.7099,                 1.1642,                0.29204,                0.24325,                0.21783,                0.12146,                 1.6699,                 1.5142,                 1.1319,               0.009208,               0.009208,               0.009208
                     18,                 1.7833,                  1.679,                 1.1594,                0.30195,                0.24882,                0.22749,                 0.1282,                 1.6533,                  1.491,                 1.1273,              0.0091585,              0.0091585,              0.0091585
