                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8026,                 4.1564,                 2.4874,                0.03152,                0.02708,                0.01588,                0.00579,                  2.993,                 3.2463,                 1.8516,               0.070074,              0.0033251,              0.0033251
                      2,                 2.8224,                 3.1784,                 1.6611,                0.05552,                0.11517,                0.05389,                0.02395,                  2.476,                 2.6643,                 1.5333,               0.040041,              0.0066255,              0.0066255
                      3,                  2.489,                 2.7605,                 1.4754,                0.18191,                0.11739,                0.07078,                0.03335,                 2.2414,                 2.3776,                 1.3726,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.2883,                 2.4971,                 1.3807,                0.12644,                0.11024,                0.08544,                0.04375,                 2.0574,                 2.1645,                 1.3243,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1549,                 2.3207,                 1.3201,                0.13446,                0.12888,                0.09998,                0.04983,                 1.9838,                 2.0085,                 1.2753,               0.009802,               0.009802,               0.009802
                      6,                 2.0675,                 2.1812,                 1.2813,                0.24538,                0.13783,                0.10727,                0.05556,                 1.9414,                 1.9771,                 1.2388,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0127,                 2.0741,                 1.2541,                0.25096,                0.16094,                0.12409,                0.06397,                 1.8923,                 1.8613,                 1.2434,               0.009703,               0.009703,               0.009703
                      8,                 1.9576,                 2.0072,                 1.2364,                0.26644,                0.16359,                0.13698,                0.07126,                 1.8758,                 1.8563,                 1.2202,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.928,                 1.9433,                 1.2221,                0.19835,                0.15807,                0.13486,                0.06978,                 1.8981,                 1.8377,                 1.2019,               0.009604,               0.009604,               0.009604
                     10,                 1.9009,                 1.8908,                 1.2093,                0.32042,                0.17831,                0.15857,                0.08372,                 1.8038,                  1.718,                 1.1789,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8822,                 1.8563,                 1.2008,                0.21878,                0.18954,                0.16549,                0.08795,                 1.7788,                 1.7184,                 1.1733,               0.009505,               0.009505,               0.009505
                     12,                 1.8642,                 1.8404,                 1.1954,                 0.2293,                0.21633,                0.18264,                0.09999,                 1.7286,                 1.6167,                 1.1594,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8498,                 1.8048,                  1.187,                0.25525,                  0.222,                0.19494,                0.10634,                 1.7311,                  1.605,                 1.1556,               0.009406,               0.009406,               0.009406
                     14,                 1.8263,                 1.7728,                  1.179,                0.26562,                0.22473,                0.19714,                0.10907,                 1.7306,                 1.5861,                 1.1496,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.8088,                 1.7268,                 1.1658,                0.27817,                0.22156,                0.20275,                0.11239,                 1.7114,                 1.5682,                 1.1473,               0.009307,               0.009307,               0.009307
                     16,                 1.8045,                 1.7314,                 1.1703,                0.29462,                0.24308,                  0.217,                0.12127,                 1.6866,                 1.5247,                 1.1373,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.8058,                 1.7222,                 1.1659,                0.30939,                0.23443,                0.21841,                0.12183,                 1.6795,                 1.5283,                 1.1297,               0.009208,               0.009208,               0.009208
                     18,                 1.7912,                 1.6918,                 1.1609,                0.32083,                0.24709,                0.23107,                0.13003,                 1.6694,                 1.4981,                 1.1278,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.7659,                 1.6666,                 1.1534,                0.32617,                0.23594,                0.22888,                0.12782,                 1.6648,                  1.493,                 1.1266,               0.009109,               0.009109,               0.009109
                     20,                 1.7718,                 1.6598,                 1.1486,                0.30768,                0.25127,                0.23446,                0.13118,                 1.6451,                 1.4779,                 1.1191,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.7523,                 1.6391,                 1.1445,                0.31963,                0.25312,                0.23838,                0.13367,                 1.6432,                 1.4646,                 1.1218,                0.00901,                0.00901,                0.00901
                     22,                 1.7527,                 1.6209,                  1.142,                0.34488,                0.25213,                0.24319,                0.13717,                   1.64,                 1.4546,                 1.1179,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.7384,                 1.6217,                 1.1361,                0.34536,                0.26303,                0.24975,                0.13956,                 1.6365,                 1.4467,                 1.1189,               0.008911,               0.008911,               0.008911
                     24,                 1.7266,                  1.585,                 1.1329,                0.32335,                0.27145,                0.24932,                0.14125,                  1.618,                 1.4403,                 1.1094,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.7279,                 1.5841,                  1.131,                0.33976,                0.26331,                 0.2518,                0.14359,                   1.61,                  1.423,                 1.1085,               0.008812,               0.008812,               0.008812
                     26,                 1.7142,                 1.5881,                 1.1345,                0.34488,                0.26397,                0.25719,                0.14563,                 1.6022,                 1.4149,                 1.1038,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.7115,                 1.5725,                 1.1279,                0.34926,                0.27012,                0.26313,                0.14996,                 1.5905,                 1.3977,                 1.1025,               0.008713,               0.008713,               0.008713
                     28,                 1.7127,                 1.5705,                 1.1284,                0.34361,                0.26823,                0.25655,                 0.1464,                 1.5977,                 1.4055,                 1.0995,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.7017,                 1.5555,                  1.123,                0.34765,                0.27216,                0.26384,                0.15069,                 1.5903,                 1.3972,                 1.0961,               0.008614,               0.008614,               0.008614
                     30,                 1.6992,                 1.5498,                 1.1203,                0.33676,                0.27258,                 0.2624,                0.15021,                 1.5866,                 1.3864,                 1.0955,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.7016,                 1.5408,                 1.1222,                0.34735,                0.28087,                 0.2701,                0.15396,                 1.5815,                 1.3783,                 1.0969,               0.008515,               0.008515,               0.008515
                     32,                  1.685,                 1.5207,                 1.1166,                0.35814,                0.27413,                0.26863,                0.15263,                 1.5851,                 1.3758,                 1.0947,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.6814,                 1.5177,                 1.1173,                 0.3598,                0.28041,                0.27595,                0.15855,                 1.5729,                 1.3639,                 1.0934,               0.008416,               0.008416,               0.008416
