                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8619,                 4.1073,                 2.5137,                0.02277,                0.06694,                0.01714,                0.00619,                 2.9863,                 3.2073,                 1.7999,               0.070074,              0.0033251,              0.0033251
                      2,                 2.8015,                 3.1562,                 1.6462,                0.05128,                0.11697,                0.05171,                0.02303,                 2.4487,                 2.6887,                 1.4934,               0.040041,              0.0066255,              0.0066255
                      3,                 2.4393,                 2.7101,                 1.4589,                0.18657,                 0.0814,                0.06172,                0.02977,                 2.3149,                 2.4227,                 1.4212,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.2504,                 2.4589,                 1.3712,                0.21546,                0.12142,                0.09206,                0.04669,                 2.0342,                 2.1132,                 1.3123,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1321,                  2.278,                 1.3181,                0.12213,                0.16103,                0.10822,                0.05372,                 1.9863,                 1.9483,                 1.2552,               0.009802,               0.009802,               0.009802
                      6,                 2.0458,                 2.1454,                 1.2781,                0.16684,                0.14753,                 0.1216,                0.06252,                 1.9009,                 1.9252,                 1.2396,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9954,                 2.0473,                  1.253,                0.17789,                0.16679,                0.13678,                0.07153,                 1.8512,                 1.8577,                 1.2175,               0.009703,               0.009703,               0.009703
                      8,                 1.9388,                 1.9818,                  1.234,                0.21552,                0.17495,                0.15288,                0.08073,                 1.8343,                 1.7805,                  1.199,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9107,                  1.925,                 1.2205,                0.20219,                0.17173,                0.15156,                0.08023,                 1.8313,                  1.751,                 1.1891,               0.009604,               0.009604,               0.009604
                     10,                 1.8858,                 1.8742,                 1.2068,                0.26279,                0.19012,                0.17019,                 0.0919,                 1.7791,                 1.6869,                  1.172,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8677,                 1.8396,                 1.2004,                 0.2521,                0.21154,                  0.184,                0.09995,                 1.7319,                 1.6453,                 1.1668,               0.009505,               0.009505,               0.009505
                     12,                 1.8513,                 1.8255,                 1.1957,                0.25026,                0.20232,                 0.1822,                0.09905,                 1.7338,                 1.6267,                 1.1677,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8339,                 1.7889,                 1.1858,                0.24089,                0.21621,                0.18627,                0.10127,                 1.7381,                 1.6132,                 1.1578,               0.009406,               0.009406,               0.009406
                     14,                 1.8181,                 1.7617,                 1.1807,                0.28062,                0.20861,                0.19915,                 0.1097,                 1.7157,                 1.5917,                 1.1487,              0.0093565,              0.0093565,              0.0093565
