                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9157,                 4.1792,                  2.465,                0.01982,                0.05728,                0.01522,                0.00515,                 3.1227,                 3.2793,                 1.8589,               0.070074,              0.0033251,              0.0033251
                      2,                 2.8685,                 3.2081,                 1.6646,                0.04203,                0.11141,                0.04167,                0.01862,                 2.4899,                 2.6926,                 1.5283,               0.040041,              0.0066255,              0.0066255
                      3,                 2.5361,                 2.8295,                 1.4992,                0.06434,                0.10161,                0.05531,                0.02438,                 2.4333,                  2.871,                 1.4751,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.3652,                 2.5964,                 1.4176,                0.29995,                0.09709,                 0.0794,                0.03979,                 2.1427,                 2.2475,                 1.3538,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.2428,                 2.4219,                 1.3605,                0.20663,                0.11326,                 0.0925,                0.04717,                 2.0589,                 2.0678,                 1.3119,               0.009802,               0.009802,               0.009802
                      6,                 2.1575,                 2.2931,                 1.3227,                0.21053,                 0.1376,                0.09518,                0.04751,                 2.0329,                 2.1467,                 1.2775,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.1094,                 2.2022,                 1.2985,                0.23642,                0.15185,                0.11224,                0.05638,                 1.9804,                 1.9366,                 1.2777,               0.009703,               0.009703,               0.009703
                      8,                 2.0577,                 2.1437,                 1.2801,                0.25532,                 0.1463,                0.11569,                0.05939,                 1.9439,                 1.9525,                 1.2489,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0361,                 2.0924,                 1.2681,                0.23588,                0.14561,                0.11202,                0.05688,                 1.9517,                 1.9323,                 1.2359,               0.009604,               0.009604,               0.009604
                     10,                 2.0121,                 2.0457,                 1.2568,                0.25339,                 0.1536,                0.12397,                0.06337,                  1.912,                 1.8698,                 1.2339,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.9954,                 2.0178,                 1.2491,                 0.2762,                0.16447,                0.13336,                0.06888,                 1.8765,                 1.8184,                 1.2146,               0.009505,               0.009505,               0.009505
                     12,                 1.9816,                  2.008,                 1.2439,                0.29881,                0.16072,                0.13472,                0.07043,                 1.8661,                 1.8085,                 1.1997,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.9697,                 1.9789,                 1.2372,                0.32881,                0.17293,                0.14706,                0.07664,                 1.8576,                 1.7692,                 1.1989,               0.009406,               0.009406,               0.009406
                     14,                 1.9523,                 1.9517,                 1.2309,                0.29501,                0.16291,                0.13841,                 0.0727,                  1.852,                 1.8267,                 1.2068,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.9346,                 1.9066,                 1.2174,                0.29993,                0.18187,                0.15149,                0.08007,                 1.8373,                 1.7282,                 1.2029,               0.009307,               0.009307,               0.009307
                     16,                 1.9324,                 1.9112,                 1.2225,                0.20174,                0.17992,                0.15861,                0.08461,                 1.8217,                   1.71,                 1.1902,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.9338,                 1.9038,                 1.2176,                0.21892,                0.18588,                0.16482,                0.08836,                 1.8124,                 1.6864,                 1.1843,               0.009208,               0.009208,               0.009208
                     18,                 1.9226,                 1.8687,                 1.2133,                0.20276,                0.19369,                0.16442,                0.08902,                 1.7963,                 1.6879,                  1.174,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.8977,                 1.8517,                 1.2065,                0.22412,                0.18514,                0.16578,                0.08918,                 1.7972,                 1.6575,                 1.1712,               0.009109,               0.009109,               0.009109
