                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7567,                 4.1227,                 2.6794,                0.03781,                0.07345,                0.02609,                0.00795,                 2.8613,                  3.112,                 1.8839,               0.070074,              0.0033251,              0.0033251
                      2,                 2.6246,                 3.0158,                 1.6536,                0.31064,                0.09076,                 0.0693,                0.03353,                 2.2448,                  2.415,                 1.4379,               0.040041,              0.0066255,              0.0066255
                      3,                 2.2399,                  2.486,                 1.3981,                0.32095,                 0.1225,                0.09859,                0.04867,                  2.041,                 2.1123,                 1.2923,              0.0099752,              0.0098929,              0.0098929
                      4,                  2.013,                 2.1291,                 1.2793,                0.30051,                0.16354,                 0.1406,                0.07392,                  1.823,                 1.8136,                 1.2326,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.872,                 1.8936,                  1.216,                0.22399,                0.18407,                0.16576,                0.08813,                 1.8124,                 1.7325,                 1.1828,               0.009802,               0.009802,               0.009802
                      6,                 1.7745,                 1.7344,                 1.1718,                 0.2859,                0.24157,                  0.222,                0.12578,                 1.6322,                 1.5097,                  1.135,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7147,                  1.622,                 1.1469,                0.31764,                 0.2802,                 0.2543,                0.14321,                 1.5733,                 1.4278,                  1.113,               0.009703,               0.009703,               0.009703
                      8,                 1.6572,                 1.5475,                 1.1273,                0.36369,                0.29245,                0.27863,                0.15735,                 1.5528,                 1.3731,                 1.1016,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6248,                 1.4813,                 1.1134,                0.38049,                0.29874,                0.29391,                0.17033,                 1.5351,                 1.3546,                 1.0932,               0.009604,               0.009604,               0.009604
                     10,                 1.5918,                 1.4239,                 1.0982,                0.39073,                0.31221,                0.30087,                0.17273,                 1.5108,                 1.3143,                 1.0803,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5722,                 1.3894,                 1.0896,                0.40786,                0.31707,                0.31615,                0.18305,                 1.4766,                 1.2718,                 1.0686,               0.009505,               0.009505,               0.009505
                     12,                 1.5544,                 1.3725,                 1.0846,                0.41795,                 0.3365,                0.33101,                0.19385,                 1.4461,                 1.2374,                 1.0615,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.5344,                 1.3384,                 1.0758,                 0.4503,                0.32232,                0.33879,                0.19797,                 1.4567,                 1.2428,                 1.0661,               0.009406,               0.009406,               0.009406
                     14,                 1.5158,                 1.3091,                 1.0688,                0.44446,                0.35489,                0.35651,                 0.2104,                 1.4246,                 1.2037,                 1.0502,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4929,                 1.2676,                 1.0558,                0.45786,                  0.372,                0.36797,                0.21629,                 1.4055,                 1.1714,                 1.0444,               0.009307,               0.009307,               0.009307
                     16,                 1.4922,                 1.2664,                 1.0598,                0.46644,                0.36889,                0.36799,                0.21753,                 1.4141,                 1.1763,                 1.0448,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.4899,                 1.2551,                 1.0542,                 0.4679,                0.37245,                0.37483,                 0.2248,                 1.3912,                 1.1541,                 1.0328,               0.009208,               0.009208,               0.009208
                     18,                 1.4753,                 1.2313,                 1.0505,                0.47505,                 0.3826,                0.38778,                0.23155,                 1.3834,                 1.1409,                  1.033,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.4552,                 1.2136,                  1.045,                0.48244,                0.38488,                0.39447,                0.23466,                  1.377,                 1.1215,                 1.0315,               0.009109,               0.009109,               0.009109
                     20,                 1.4563,                 1.1976,                   1.04,                0.48964,                0.39961,                0.40248,                0.24133,                 1.3701,                 1.1118,                 1.0259,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.4402,                  1.182,                 1.0366,                 0.4988,                0.39733,                0.40583,                0.24279,                 1.3651,                 1.0991,                 1.0231,                0.00901,                0.00901,                0.00901
                     22,                 1.4381,                 1.1665,                 1.0335,                0.51561,                0.39765,                 0.4164,                0.24799,                 1.3648,                 1.0982,                 1.0242,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.4272,                 1.1605,                 1.0288,                0.51448,                0.40506,                0.41862,                0.25086,                 1.3583,                 1.0881,                 1.0188,               0.008911,               0.008911,               0.008911
                     24,                  1.411,                 1.1368,                 1.0244,                0.52156,                 0.3987,                0.41595,                0.24814,                  1.363,                 1.0915,                 1.0184,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.4137,                  1.136,                 1.0234,                0.51863,                0.40936,                0.42863,                0.25696,                 1.3435,                 1.0721,                 1.0158,               0.008812,               0.008812,               0.008812
                     26,                 1.3992,                 1.1323,                 1.0252,                0.52356,                0.41083,                0.42737,                0.25702,                 1.3391,                 1.0666,                 1.0141,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.3974,                 1.1171,                 1.0207,                0.52991,                0.42201,                0.43642,                0.26344,                 1.3349,                 1.0567,                 1.0113,               0.008713,               0.008713,               0.008713
                     28,                 1.4004,                 1.1197,                 1.0212,                0.52424,                0.41747,                0.43411,                0.26413,                 1.3314,                 1.0604,                 1.0089,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.3866,                 1.1024,                 1.0154,                0.54734,                 0.4229,                0.44554,                0.26977,                  1.325,                 1.0425,                 1.0067,               0.008614,               0.008614,               0.008614
                     30,                 1.3852,                 1.0981,                 1.0143,                0.52862,                0.43166,                0.44617,                0.26927,                   1.32,                 1.0376,                 1.0068,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.3869,                  1.092,                  1.014,                0.53887,                0.42764,                 0.4453,                0.26974,                 1.3211,                 1.0402,                 1.0029,               0.008515,               0.008515,               0.008515
                     32,                 1.3719,                 1.0741,                 1.0092,                0.54798,                0.42821,                0.45073,                0.27315,                 1.3155,                 1.0278,                 1.0033,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.3713,                 1.0725,                 1.0107,                0.53824,                0.43171,                0.45328,                0.27704,                 1.3114,                 1.0242,                 1.0032,               0.008416,               0.008416,               0.008416
                     34,                 1.3617,                 1.0612,                 1.0092,                0.54163,                0.43473,                 0.4549,                 0.2772,                 1.3135,                 1.0218,                 1.0033,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3524,                 1.0597,                 1.0068,                 0.5559,                0.44297,                0.46329,                0.28203,                 1.3081,                 1.0163,                0.99732,               0.008317,               0.008317,               0.008317
                     36,                 1.3633,                 1.0622,                 1.0048,                 0.5422,                0.44085,                0.45946,                 0.2783,                  1.312,                 1.0171,                0.99963,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.3623,                  1.056,                 1.0051,                0.55129,                0.44045,                0.46261,                0.28304,                 1.3014,                 1.0072,                0.99836,               0.008218,               0.008218,               0.008218
                     38,                 1.3562,                 1.0455,                 1.0032,                0.54932,                0.44688,                0.46787,                0.28466,                 1.2984,                 1.0004,                0.99746,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.3605,                 1.0483,                 1.0046,                0.55578,                0.44827,                0.46937,                0.28758,                 1.2981,                 1.0001,                 0.9941,               0.008119,               0.008119,               0.008119
                     40,                 1.3498,                 1.0326,                      1,                0.55438,                0.45279,                0.47036,                0.28881,                 1.2906,                0.99874,                0.99395,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.3426,                 1.0314,                 1.0006,                0.56245,                0.44453,                0.47459,                0.29031,                 1.2914,                0.99517,                0.99259,                0.00802,                0.00802,                0.00802
                     42,                 1.3303,                 1.0158,                 0.9938,                0.56527,                0.45156,                0.47284,                0.29028,                 1.2908,                0.98772,                 0.9942,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3291,                 1.0153,                0.99435,                0.56387,                0.45232,                0.47395,                0.29215,                 1.2859,                0.98536,                0.99198,               0.007921,               0.007921,               0.007921
                     44,                 1.3392,                 1.0206,                0.99413,                 0.5723,                0.45498,                0.47869,                0.29236,                  1.291,                0.98795,                0.99281,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.3323,                 1.0158,                0.99796,                0.57441,                0.45255,                0.47881,                0.29548,                 1.2845,                0.98186,                0.99149,               0.007822,               0.007822,               0.007822
                     46,                 1.3285,                 1.0128,                 0.9934,                0.56689,                0.46737,                0.48315,                0.29618,                 1.2835,                 0.9779,                0.99009,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.3369,                 1.0122,                0.99801,                0.57663,                0.45549,                 0.4834,                0.29761,                 1.2811,                0.97601,                 0.9908,               0.007723,               0.007723,               0.007723
                     48,                  1.333,                 1.0025,                0.99332,                0.57279,                0.46441,                0.48806,                0.30013,                 1.2772,                0.96803,                0.98934,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3044,                0.98418,                0.98655,                0.57922,                 0.4592,                0.48561,                 0.2987,                 1.2756,                 0.9695,                0.98796,               0.007624,               0.007624,               0.007624
                     50,                 1.3156,                0.99651,                 0.9878,                0.57918,                0.45867,                0.48618,                0.29988,                 1.2777,                0.96974,                0.98903,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.3036,                0.98203,                0.98618,                0.57472,                0.46842,                0.48996,                0.30295,                 1.2691,                 0.9629,                0.98568,               0.007525,               0.007525,               0.007525
                     52,                 1.3085,                0.98007,                0.98827,                0.58275,                0.46652,                0.49088,                0.30277,                 1.2727,                 0.9637,                0.98588,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3124,                0.98232,                0.98744,                0.58566,                0.45869,                  0.491,                0.30376,                 1.2723,                0.95931,                0.98663,               0.007426,               0.007426,               0.007426
                     54,                 1.3157,                0.98376,                0.98648,                0.57985,                 0.4603,                0.48985,                0.30309,                 1.2701,                 0.9613,                0.98541,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3082,                0.97422,                0.98331,                0.59139,                0.46438,                0.49457,                0.30412,                 1.2698,                0.95775,                0.98463,               0.007327,               0.007327,               0.007327
                     56,                  1.302,                0.97101,                0.98446,                0.57615,                0.47515,                0.49437,                0.30531,                 1.2685,                0.95615,                0.98438,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2976,                0.97155,                0.98571,                0.57631,                0.46976,                0.49179,                0.30342,                 1.2657,                0.95637,                0.98377,               0.007228,               0.007228,               0.007228
                     58,                 1.3038,                 0.9649,                0.98431,                0.56954,                 0.4735,                0.49337,                0.30515,                 1.2638,                0.95303,                0.98293,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3013,                0.96476,                0.98391,                0.59203,                0.46913,                0.49639,                0.30645,                 1.2646,                0.95216,                0.98387,               0.007129,               0.007129,               0.007129
                     60,                 1.2939,                0.95917,                0.97945,                0.58275,                0.46939,                0.49559,                0.30633,                  1.261,                0.94907,                 0.9827,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2937,                0.95671,                0.98075,                0.59161,                0.47166,                0.50064,                0.30937,                 1.2598,                0.94343,                0.98109,                0.00703,                0.00703,                0.00703
                     62,                 1.2917,                0.94912,                 0.9798,                0.58143,                 0.4742,                0.49907,                0.30869,                 1.2601,                0.94339,                0.98098,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.2964,                0.94795,                0.98111,                0.58672,                0.47582,                0.50034,                0.31063,                  1.257,                0.93963,                0.97999,               0.006931,               0.006931,               0.006931
                     64,                 1.2975,                0.95244,                0.98237,                0.59504,                0.47022,                0.50122,                 0.3111,                 1.2548,                0.94158,                0.98056,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2906,                0.94395,                0.97907,                0.59327,                0.47685,                0.50312,                0.31257,                 1.2541,                0.93668,                0.97987,               0.006832,               0.006832,               0.006832
                     66,                 1.2894,                0.94466,                0.97992,                 0.5926,                0.47421,                0.50283,                0.31211,                  1.255,                0.93947,                 0.9792,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.2859,                0.94108,                0.97733,                0.58041,                0.48317,                0.50382,                0.31253,                 1.2549,                0.93726,                0.97934,               0.006733,               0.006733,               0.006733
