                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7207,                 4.0925,                 2.5797,                0.12781,                0.07296,                0.07036,                0.01739,                 2.8193,                 3.1317,                  1.836,               0.070074,              0.0033251,              0.0033251
                      2,                 2.6221,                 2.9909,                 1.6267,                0.07014,                0.13637,                0.07447,                0.03602,                 2.2414,                 2.4493,                 1.4319,               0.040041,              0.0066255,              0.0066255
                      3,                 2.2539,                 2.5075,                  1.393,                0.21977,                0.12905,                0.10025,                0.05115,                 1.9955,                 2.1228,                 1.2917,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.0402,                 2.1636,                 1.2867,                0.28209,                0.16087,                0.13577,                0.07195,                 1.8442,                 1.8782,                  1.223,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.9052,                 1.9394,                  1.227,                 0.2291,                0.18533,                0.16561,                0.08825,                 1.7634,                 1.7035,                 1.1817,               0.009802,               0.009802,               0.009802
                      6,                  1.805,                 1.7778,                  1.185,                0.26801,                0.22747,                0.20052,                0.11078,                 1.6626,                 1.5725,                 1.1475,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7502,                 1.6721,                 1.1587,                 0.3092,                0.25764,                0.23334,                0.13116,                 1.6125,                 1.4778,                 1.1294,               0.009703,               0.009703,               0.009703
                      8,                 1.6926,                 1.5935,                 1.1384,                0.33115,                0.27576,                0.24931,                0.13858,                 1.5884,                 1.4342,                 1.1123,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6558,                 1.5284,                 1.1234,                0.33835,                0.27768,                0.26328,                0.15116,                  1.567,                 1.4065,                 1.0986,               0.009604,               0.009604,               0.009604
                     10,                 1.6259,                 1.4713,                 1.1102,                 0.3667,                0.29819,                0.28279,                0.16213,                 1.5345,                 1.3465,                 1.0896,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6051,                 1.4377,                 1.1016,                0.37936,                0.30711,                0.29742,                0.17007,                 1.5065,                 1.3131,                 1.0815,               0.009505,               0.009505,               0.009505
                     12,                 1.5899,                  1.423,                 1.0971,                0.39307,                0.32574,                0.31406,                 0.1816,                 1.4815,                 1.2775,                 1.0725,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.571,                 1.3826,                 1.0871,                0.42216,                0.33178,                0.33067,                0.18939,                 1.4742,                 1.2544,                 1.0723,               0.009406,               0.009406,               0.009406
                     14,                 1.5507,                 1.3554,                 1.0803,                0.42944,                0.33279,                0.33455,                0.19577,                 1.4509,                 1.2342,                 1.0556,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.5271,                 1.3154,                 1.0668,                 0.4407,                0.35525,                0.34954,                0.20397,                 1.4421,                 1.2094,                 1.0576,               0.009307,               0.009307,               0.009307
                     16,                 1.5254,                  1.316,                 1.0707,                0.45532,                 0.3394,                0.34673,                 0.2036,                 1.4505,                 1.2173,                 1.0564,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.5255,                 1.3034,                  1.067,                0.44877,                0.35532,                0.35658,                  0.212,                 1.4221,                 1.1859,                 1.0401,               0.009208,               0.009208,               0.009208
                     18,                 1.5098,                 1.2773,                 1.0619,                 0.4572,                 0.3642,                0.37333,                0.22011,                 1.4119,                 1.1703,                 1.0429,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.4902,                 1.2606,                 1.0564,                0.45097,                0.37553,                0.36939,                 0.2196,                 1.4134,                 1.1635,                  1.041,               0.009109,               0.009109,               0.009109
                     20,                 1.4912,                 1.2435,                 1.0512,                0.46309,                0.38121,                0.37658,                 0.2229,                 1.3989,                 1.1488,                 1.0347,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.4732,                 1.2262,                 1.0471,                0.47367,                0.37961,                0.38888,                0.23128,                 1.3812,                 1.1328,                 1.0298,                0.00901,                0.00901,                0.00901
                     22,                  1.472,                 1.2121,                 1.0441,                0.47821,                0.38308,                0.39053,                0.23099,                  1.395,                 1.1379,                 1.0334,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.4607,                 1.2077,                 1.0397,                0.46596,                0.39256,                0.39333,                0.23249,                 1.3892,                 1.1269,                 1.0281,               0.008911,               0.008911,               0.008911
                     24,                 1.4449,                 1.1854,                 1.0353,                 0.4756,                0.39605,                0.39544,                0.23417,                 1.3833,                 1.1219,                 1.0272,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.4469,                 1.1818,                 1.0338,                0.48612,                0.39037,                0.40188,                0.23821,                 1.3723,                 1.1138,                 1.0259,               0.008812,               0.008812,               0.008812
                     26,                 1.4344,                 1.1798,                 1.0355,                0.49435,                0.39775,                 0.4038,                0.24174,                  1.362,                 1.0974,                 1.0196,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.4305,                 1.1631,                 1.0307,                0.49869,                0.40362,                0.41225,                0.24679,                 1.3541,                 1.0924,                 1.0179,               0.008713,               0.008713,               0.008713
                     28,                 1.4341,                 1.1678,                 1.0317,                0.51306,                0.39698,                0.41469,                0.25097,                 1.3525,                 1.0876,                 1.0162,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.4205,                  1.148,                 1.0262,                 0.5145,                0.40509,                0.42138,                0.25395,                 1.3485,                 1.0796,                 1.0166,               0.008614,               0.008614,               0.008614
                     30,                 1.4189,                 1.1444,                 1.0251,                0.49727,                0.40806,                0.41472,                 0.2495,                 1.3499,                 1.0709,                 1.0159,              0.0085645,              0.0085645,              0.0085645
                     31,                   1.42,                 1.1356,                 1.0241,                 0.5095,                 0.4097,                 0.4225,                0.25237,                 1.3473,                  1.073,                 1.0137,               0.008515,               0.008515,               0.008515
                     32,                 1.4063,                 1.1182,                 1.0199,                0.50545,                 0.4154,                0.42511,                0.25553,                 1.3391,                 1.0618,                 1.0124,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.4051,                 1.1201,                 1.0217,                0.51662,                0.41093,                0.42901,                0.25911,                 1.3413,                 1.0613,                 1.0133,               0.008416,               0.008416,               0.008416
                     34,                 1.3958,                 1.1091,                 1.0197,                0.52374,                0.41624,                0.43294,                0.26134,                 1.3386,                 1.0528,                 1.0095,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.3856,                 1.1066,                 1.0175,                0.51756,                0.42277,                0.43447,                0.26321,                 1.3346,                 1.0487,                 1.0079,               0.008317,               0.008317,               0.008317
