                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8501,                 4.1371,                 2.4451,                 0.0221,                0.06379,                0.01749,                0.00632,                 3.0005,                   3.22,                 1.8167,               0.070074,              0.0033251,              0.0033251
                      2,                 2.7865,                 3.1375,                 1.6328,                0.05277,                0.12531,                0.05502,                0.02445,                 2.4176,                 2.5739,                 1.4865,               0.040041,              0.0066255,              0.0066255
                      3,                 2.4141,                 2.6662,                 1.4424,                0.33892,                0.10191,                0.07115,                0.03459,                 2.1786,                 2.3127,                  1.375,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.2135,                 2.4018,                 1.3486,                0.32743,                0.12111,                0.09506,                0.04754,                 2.0204,                 2.1083,                 1.3232,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0816,                 2.2114,                 1.2918,                0.35763,                0.14185,                 0.1132,                0.05848,                 1.9406,                 1.9097,                 1.2393,               0.009802,               0.009802,               0.009802
                      6,                 1.9947,                 2.0619,                 1.2549,                 0.3763,                0.15517,                0.13028,                0.06722,                 1.8454,                 1.8586,                 1.2147,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9392,                 1.9684,                 1.2277,                0.29844,                0.17663,                0.14928,                0.07873,                 1.8058,                 1.7429,                  1.204,               0.009703,               0.009703,               0.009703
                      8,                 1.8901,                 1.8984,                 1.2123,                0.30491,                0.18541,                0.16093,                0.08593,                 1.7708,                 1.7393,                 1.1808,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8554,                 1.8368,                 1.1961,                0.32754,                0.18491,                0.16365,                0.08741,                 1.7906,                 1.7169,                 1.1766,               0.009604,               0.009604,               0.009604
                     10,                 1.8285,                 1.7817,                 1.1825,                0.23169,                0.21017,                0.18458,                0.10047,                 1.7324,                 1.6396,                 1.1621,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8083,                 1.7444,                 1.1745,                0.23937,                0.21815,                0.19725,                0.10738,                 1.7069,                 1.5889,                 1.1447,               0.009505,               0.009505,               0.009505
                     12,                 1.7897,                  1.727,                 1.1692,                0.27263,                 0.2224,                0.20366,                0.11304,                 1.6769,                 1.5432,                 1.1418,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7729,                 1.6891,                 1.1602,                0.26903,                0.23233,                0.21433,                0.11792,                 1.6641,                 1.5321,                 1.1412,               0.009406,               0.009406,               0.009406
