                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7737,                 4.0597,                 2.5203,                0.06317,                0.06881,                0.03799,                0.01617,                 2.8517,                 3.1725,                 1.8198,               0.070074,              0.0033251,              0.0033251
                      2,                 2.6618,                 3.0291,                 1.6223,                0.09148,                0.10756,                0.06612,                0.03026,                 2.2943,                 2.4498,                 1.4746,               0.040041,              0.0066255,              0.0066255
                      3,                 2.3074,                 2.5532,                 1.4098,                0.18997,                0.10566,                0.07393,                0.03761,                 2.1566,                 2.2636,                 1.3558,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.1005,                 2.2507,                 1.3084,                0.28076,                0.14673,                0.12301,                0.06399,                 1.8801,                    1.9,                 1.2421,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.965,                 2.0361,                   1.25,                0.30101,                0.16777,                  0.147,                0.07656,                 1.8552,                 1.7928,                 1.2099,               0.009802,               0.009802,               0.009802
                      6,                  1.873,                 1.8744,                  1.209,                 0.2092,                0.19672,                0.17088,                0.09256,                 1.7287,                 1.6905,                 1.1705,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.8114,                 1.7676,                   1.18,                 0.2809,                0.22645,                  0.203,                0.11282,                 1.6918,                 1.5867,                 1.1533,               0.009703,               0.009703,               0.009703
                      8,                 1.7554,                 1.6886,                 1.1607,                0.30207,                0.24174,                0.21921,                0.12142,                  1.669,                 1.5078,                 1.1448,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7211,                 1.6211,                 1.1471,                0.29654,                0.24177,                0.22515,                0.12766,                 1.6473,                 1.4797,                  1.131,               0.009604,               0.009604,               0.009604
                     10,                 1.6892,                 1.5672,                 1.1317,                0.33041,                0.26661,                0.24873,                 0.1406,                 1.5962,                 1.4262,                 1.1085,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6702,                 1.5306,                 1.1232,                0.34963,                0.27678,                 0.2619,                0.14846,                 1.5643,                 1.3852,                 1.0988,               0.009505,               0.009505,               0.009505
                     12,                 1.6513,                 1.5123,                 1.1176,                0.33577,                0.28066,                0.26996,                0.15429,                 1.5439,                 1.3661,                 1.0898,              0.0094555,              0.0094555,              0.0094555
                     13,                  1.633,                 1.4766,                 1.1089,                0.37262,                0.31087,                0.29704,                0.16883,                 1.5256,                 1.3234,                 1.0897,               0.009406,               0.009406,               0.009406
                     14,                 1.6114,                 1.4473,                 1.1016,                0.38782,                0.31791,                0.30509,                0.17657,                  1.507,                 1.2881,                 1.0771,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.5891,                 1.4066,                 1.0887,                0.39993,                0.31571,                0.30875,                0.17911,                 1.4932,                 1.2782,                 1.0742,               0.009307,               0.009307,               0.009307
                     16,                 1.5855,                 1.4052,                 1.0924,                0.39792,                0.33005,                0.31502,                0.18271,                  1.493,                 1.2712,                 1.0719,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.5854,                 1.3892,                 1.0881,                0.40474,                0.32741,                0.31986,                0.18623,                 1.4762,                 1.2573,                 1.0604,               0.009208,               0.009208,               0.009208
                     18,                 1.5698,                 1.3643,                 1.0833,                0.41339,                0.34291,                0.33282,                0.19316,                 1.4643,                 1.2327,                 1.0613,              0.0091585,              0.0091585,              0.0091585
                     19,                  1.548,                 1.3458,                 1.0767,                0.42475,                0.33573,                0.33089,                0.19278,                 1.4695,                 1.2376,                 1.0623,               0.009109,               0.009109,               0.009109
                     20,                 1.5491,                 1.3303,                 1.0713,                0.42788,                0.35091,                0.33922,                0.19812,                 1.4484,                 1.2189,                 1.0558,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.5315,                 1.3105,                 1.0678,                0.45157,                0.34018,                0.34543,                0.20529,                 1.4437,                 1.1988,                 1.0518,                0.00901,                0.00901,                0.00901
                     22,                  1.529,                 1.2952,                 1.0653,                0.44379,                0.35044,                0.34825,                0.20521,                 1.4381,                 1.1988,                  1.049,              0.0089605,              0.0089605,              0.0089605
