                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.875,                 4.1673,                 2.5243,                0.02327,                0.06452,                 0.0173,                0.00626,                 2.9863,                 3.2047,                 1.8327,               0.070074,              0.0033251,              0.0033251
                      2,                 2.8032,                 3.1406,                  1.645,                 0.0685,                0.08586,                0.05123,                0.02265,                 2.4207,                 2.6447,                 1.4874,               0.040041,              0.0066255,              0.0066255
                      3,                 2.4484,                 2.7119,                 1.4587,                 0.3169,                0.09695,                0.07987,                0.03695,                  2.212,                 2.3218,                 1.3715,              0.0099752,              0.0098929,              0.0098929
                      4,                 2.2619,                 2.4605,                 1.3696,                0.31163,                 0.1252,                0.09394,                0.04649,                 2.0324,                    2.1,                 1.3122,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1416,                 2.2868,                 1.3163,                0.10657,                 0.1407,                0.10474,                 0.0535,                  1.981,                 1.9663,                 1.2681,               0.009802,               0.009802,               0.009802
                      6,                 2.0519,                 2.1482,                 1.2773,                0.23917,                0.14527,                0.11918,                0.06075,                 1.9451,                 1.9257,                 1.2349,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9968,                   2.05,                 1.2496,                0.24083,                 0.1688,                0.11804,                0.06153,                 1.9088,                 1.9279,                 1.2457,               0.009703,               0.009703,               0.009703
                      8,                 1.9471,                 1.9891,                 1.2331,                0.28152,                 0.1909,                0.14748,                 0.0777,                 1.8214,                 1.7767,                 1.1988,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.9142,                 1.9263,                 1.2187,                0.19702,                 0.1852,                0.15642,                0.08349,                 1.8091,                 1.7223,                 1.1935,               0.009604,               0.009604,               0.009604
                     10,                 1.8877,                 1.8736,                 1.2053,                0.19237,                0.18236,                0.14608,                0.07803,                 1.8288,                 1.7282,                 1.1848,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.8725,                 1.8407,                 1.1973,                0.22381,                0.20761,                0.17381,                0.09435,                 1.7424,                 1.6644,                 1.1718,               0.009505,               0.009505,               0.009505
                     12,                  1.857,                 1.8311,                 1.1937,                0.21899,                0.21507,                 0.1805,                0.09788,                 1.7293,                 1.6193,                 1.1622,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.8428,                 1.7952,                 1.1847,                 0.2432,                 0.2184,                0.18828,                0.10187,                 1.7346,                 1.6273,                 1.1532,               0.009406,               0.009406,               0.009406
                     14,                 1.8249,                 1.7672,                 1.1784,                0.26565,                0.20585,                0.19422,                0.10573,                 1.7228,                  1.584,                  1.148,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.8038,                 1.7273,                 1.1646,                0.25572,                0.22126,                0.19136,                0.10484,                 1.7097,                 1.5802,                 1.1441,               0.009307,               0.009307,               0.009307
                     16,                 1.8043,                  1.731,                 1.1706,                0.27735,                0.22751,                0.20764,                0.11475,                 1.6999,                 1.5535,                 1.1412,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.8075,                 1.7216,                 1.1659,                0.27162,                0.22694,                 0.2106,                0.11581,                 1.6874,                 1.5321,                 1.1305,               0.009208,               0.009208,               0.009208
                     18,                 1.7901,                 1.6925,                 1.1604,                0.28565,                0.24561,                0.21905,                0.11992,                 1.6762,                 1.5313,                 1.1354,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.7697,                 1.6739,                  1.156,                 0.2995,                0.24333,                0.22298,                0.12224,                 1.6636,                 1.5185,                  1.134,               0.009109,               0.009109,               0.009109
                     20,                  1.773,                 1.6636,                 1.1504,                0.29301,                0.24795,                0.22543,                 0.1243,                 1.6576,                 1.5009,                 1.1295,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.7562,                  1.646,                 1.1461,                0.29335,                  0.242,                0.22715,                0.12623,                 1.6523,                 1.5143,                 1.1265,                0.00901,                0.00901,                0.00901
                     22,                 1.7558,                 1.6308,                 1.1445,                 0.3206,                0.25464,                0.23259,                0.12839,                 1.6412,                 1.4725,                 1.1207,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.7439,                 1.6305,                 1.1387,                0.33214,                0.26661,                0.24366,                0.13486,                 1.6322,                 1.4631,                 1.1139,               0.008911,               0.008911,               0.008911
                     24,                 1.7304,                  1.594,                 1.1347,                0.32203,                0.26309,                0.24354,                0.13565,                 1.6283,                 1.4621,                 1.1131,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.7354,                 1.5958,                 1.1336,                0.31189,                0.25849,                0.24278,                0.13585,                 1.6203,                 1.4462,                 1.1131,               0.008812,               0.008812,               0.008812
                     26,                 1.7207,                    1.6,                 1.1366,                0.33819,                0.26763,                0.25156,                0.14004,                 1.6191,                  1.434,                 1.1079,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.7164,                 1.5829,                 1.1306,                 0.3344,                0.27147,                0.25513,                0.14324,                 1.6056,                 1.4102,                 1.1049,               0.008713,               0.008713,               0.008713
                     28,                 1.7232,                 1.5828,                 1.1328,                0.34692,                0.26704,                0.25772,                0.14426,                 1.6036,                  1.417,                 1.1047,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.7092,                 1.5634,                 1.1266,                 0.3456,                0.27788,                0.26132,                0.14752,                 1.6019,                 1.4085,                 1.1037,               0.008614,               0.008614,               0.008614
                     30,                 1.7067,                 1.5616,                 1.1241,                0.33118,                0.27742,                0.26013,                0.14623,                 1.5933,                 1.4053,                  1.104,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.7086,                 1.5522,                 1.1245,                0.35167,                0.27722,                0.26459,                0.14786,                 1.5886,                 1.4055,                 1.1012,               0.008515,               0.008515,               0.008515
